id_ubigeo;departamento;provincia;distrito
01  ;Amazonas; ; 
0101 ;Amazonas;Chachapoyas; 
010101;Amazonas;Chachapoyas;Chachapoyas
010102;Amazonas;Chachapoyas;Asunción
010103;Amazonas;Chachapoyas;Balsas
010104;Amazonas;Chachapoyas;Cheto
010105;Amazonas;Chachapoyas;Chiliquin
010106;Amazonas;Chachapoyas;Chuquibamba
010107;Amazonas;Chachapoyas;Granada
010108;Amazonas;Chachapoyas;Huancas
010109;Amazonas;Chachapoyas;La Jalca
010110;Amazonas;Chachapoyas;Leimebamba
010111;Amazonas;Chachapoyas;Levanto
010112;Amazonas;Chachapoyas;Magdalena
010113;Amazonas;Chachapoyas;Mariscal Castilla
010114;Amazonas;Chachapoyas;Molinopampa
010115;Amazonas;Chachapoyas;Montevideo
010116;Amazonas;Chachapoyas;Olleros
010117;Amazonas;Chachapoyas;Quinjalca
010118;Amazonas;Chachapoyas;San Francisco de Daguas
010119;Amazonas;Chachapoyas;San Isidro de Maino
010120;Amazonas;Chachapoyas;Soloco
010121;Amazonas;Chachapoyas;Sonche
0102 ;Amazonas;Bagua; 
010201;Amazonas;Bagua;Bagua
010202;Amazonas;Bagua;Aramango
010203;Amazonas;Bagua;Copallin
010204;Amazonas;Bagua;El Parco
010205;Amazonas;Bagua;Imaza
010206;Amazonas;Bagua;La Peca
0103 ;Amazonas;Bongará; 
010301;Amazonas;Bongará;Jumbilla
010302;Amazonas;Bongará;Chisquilla
010303;Amazonas;Bongará;Churuja
010304;Amazonas;Bongará;Corosha
010305;Amazonas;Bongará;Cuispes
010306;Amazonas;Bongará;Florida
010307;Amazonas;Bongará;Jazan
010308;Amazonas;Bongará;Recta
010309;Amazonas;Bongará;San Carlos
010310;Amazonas;Bongará;Shipasbamba
010311;Amazonas;Bongará;Valera
010312;Amazonas;Bongará;Yambrasbamba
0104 ;Amazonas;Condorcanqui; 
010401;Amazonas;Condorcanqui;Nieva
010402;Amazonas;Condorcanqui;El Cenepa
010403;Amazonas;Condorcanqui;Río Santiago
0105 ;Amazonas;Luya; 
010501;Amazonas;Luya;Lamud
010502;Amazonas;Luya;Camporredondo
010503;Amazonas;Luya;Cocabamba
010504;Amazonas;Luya;Colcamar
010505;Amazonas;Luya;Conila
010506;Amazonas;Luya;Inguilpata
010507;Amazonas;Luya;Longuita
010508;Amazonas;Luya;Lonya Chico
010509;Amazonas;Luya;Luya
010510;Amazonas;Luya;Luya Viejo
010511;Amazonas;Luya;María
010512;Amazonas;Luya;Ocalli
010513;Amazonas;Luya;Ocumal
010514;Amazonas;Luya;Pisuquia
010515;Amazonas;Luya;Providencia
010516;Amazonas;Luya;San Cristóbal
010517;Amazonas;Luya;San Francisco de Yeso
010518;Amazonas;Luya;San Jerónimo
010519;Amazonas;Luya;San Juan de Lopecancha
010520;Amazonas;Luya;Santa Catalina
010521;Amazonas;Luya;Santo Tomas
010522;Amazonas;Luya;Tingo
010523;Amazonas;Luya;Trita
0106 ;Amazonas;Rodríguez de Mendoza; 
010601;Amazonas;Rodríguez de Mendoza;San Nicolás
010602;Amazonas;Rodríguez de Mendoza;Chirimoto
010603;Amazonas;Rodríguez de Mendoza;Cochamal
010604;Amazonas;Rodríguez de Mendoza;Huambo
010605;Amazonas;Rodríguez de Mendoza;Limabamba
010606;Amazonas;Rodríguez de Mendoza;Longar
010607;Amazonas;Rodríguez de Mendoza;Mariscal Benavides
010608;Amazonas;Rodríguez de Mendoza;Milpuc
010609;Amazonas;Rodríguez de Mendoza;Omia
010610;Amazonas;Rodríguez de Mendoza;Santa Rosa
010611;Amazonas;Rodríguez de Mendoza;Totora
010612;Amazonas;Rodríguez de Mendoza;Vista Alegre
0107 ;Amazonas;Utcubamba; 
010701;Amazonas;Utcubamba;Bagua Grande
010702;Amazonas;Utcubamba;Cajaruro
010703;Amazonas;Utcubamba;Cumba
010704;Amazonas;Utcubamba;El Milagro
010705;Amazonas;Utcubamba;Jamalca
010706;Amazonas;Utcubamba;Lonya Grande
010707;Amazonas;Utcubamba;Yamon
02  ;Áncash; ; 
0201 ;Áncash;Huaraz; 
020101;Áncash;Huaraz;Huaraz
020102;Áncash;Huaraz;Cochabamba
020103;Áncash;Huaraz;Colcabamba
020104;Áncash;Huaraz;Huanchay
020105;Áncash;Huaraz;Independencia
020106;Áncash;Huaraz;Jangas
020107;Áncash;Huaraz;La Libertad
020108;Áncash;Huaraz;Olleros
020109;Áncash;Huaraz;Pampas Grande
020110;Áncash;Huaraz;Pariacoto
020111;Áncash;Huaraz;Pira
020112;Áncash;Huaraz;Tarica
0202 ;Áncash;Aija; 
020201;Áncash;Aija;Aija
020202;Áncash;Aija;Coris
020203;Áncash;Aija;Huacllan
020204;Áncash;Aija;La Merced
020205;Áncash;Aija;Succha
0203 ;Áncash;Antonio Raymondi; 
020301;Áncash;Antonio Raymondi;Llamellin
020302;Áncash;Antonio Raymondi;Aczo
020303;Áncash;Antonio Raymondi;Chaccho
020304;Áncash;Antonio Raymondi;Chingas
020305;Áncash;Antonio Raymondi;Mirgas
020306;Áncash;Antonio Raymondi;San Juan de Rontoy
0204 ;Áncash;Asunción; 
020401;Áncash;Asunción;Chacas
020402;Áncash;Asunción;Acochaca
0205 ;Áncash;Bolognesi; 
020501;Áncash;Bolognesi;Chiquian
020502;Áncash;Bolognesi;Abelardo Pardo Lezameta
020503;Áncash;Bolognesi;Antonio Raymondi
020504;Áncash;Bolognesi;Aquia
020505;Áncash;Bolognesi;Cajacay
020506;Áncash;Bolognesi;Canis
020507;Áncash;Bolognesi;Colquioc
020508;Áncash;Bolognesi;Huallanca
020509;Áncash;Bolognesi;Huasta
020510;Áncash;Bolognesi;Huayllacayan
020511;Áncash;Bolognesi;La Primavera
020512;Áncash;Bolognesi;Mangas
020513;Áncash;Bolognesi;Pacllon
020514;Áncash;Bolognesi;San Miguel de Corpanqui
020515;Áncash;Bolognesi;Ticllos
0206 ;Áncash;Carhuaz; 
020601;Áncash;Carhuaz;Carhuaz
020602;Áncash;Carhuaz;Acopampa
020603;Áncash;Carhuaz;Amashca
020604;Áncash;Carhuaz;Anta
020605;Áncash;Carhuaz;Ataquero
020606;Áncash;Carhuaz;Marcara
020607;Áncash;Carhuaz;Pariahuanca
020608;Áncash;Carhuaz;San Miguel de Aco
020609;Áncash;Carhuaz;Shilla
020610;Áncash;Carhuaz;Tinco
020611;Áncash;Carhuaz;Yungar
0207 ;Áncash;Carlos Fermín Fitzcarrald; 
020701;Áncash;Carlos Fermín Fitzcarrald;San Luis
020702;Áncash;Carlos Fermín Fitzcarrald;San Nicolás
020703;Áncash;Carlos Fermín Fitzcarrald;Yauya
0208 ;Áncash;Casma; 
020801;Áncash;Casma;Casma
020802;Áncash;Casma;Buena Vista Alta
020803;Áncash;Casma;Comandante Noel
020804;Áncash;Casma;Yautan
0209 ;Áncash;Corongo; 
020901;Áncash;Corongo;Corongo
020902;Áncash;Corongo;Aco
020903;Áncash;Corongo;Bambas
020904;Áncash;Corongo;Cusca
020905;Áncash;Corongo;La Pampa
020906;Áncash;Corongo;Yanac
020907;Áncash;Corongo;Yupan
0210 ;Áncash;Huari; 
021001;Áncash;Huari;Huari
021002;Áncash;Huari;Anra
021003;Áncash;Huari;Cajay
021004;Áncash;Huari;Chavin de Huantar
021005;Áncash;Huari;Huacachi
021006;Áncash;Huari;Huacchis
021007;Áncash;Huari;Huachis
021008;Áncash;Huari;Huantar
021009;Áncash;Huari;Masin
021010;Áncash;Huari;Paucas
021011;Áncash;Huari;Ponto
021012;Áncash;Huari;Rahuapampa
021013;Áncash;Huari;Rapayan
021014;Áncash;Huari;San Marcos
021015;Áncash;Huari;San Pedro de Chana
021016;Áncash;Huari;Uco
0211 ;Áncash;Huarmey; 
021101;Áncash;Huarmey;Huarmey
021102;Áncash;Huarmey;Cochapeti
021103;Áncash;Huarmey;Culebras
021104;Áncash;Huarmey;Huayan
021105;Áncash;Huarmey;Malvas
0212 ;Áncash;Huaylas; 
021201;Áncash;Huaylas;Caraz
021202;Áncash;Huaylas;Huallanca
021203;Áncash;Huaylas;Huata
021204;Áncash;Huaylas;Huaylas
021205;Áncash;Huaylas;Mato
021206;Áncash;Huaylas;Pamparomas
021207;Áncash;Huaylas;Pueblo Libre
021208;Áncash;Huaylas;Santa Cruz
021209;Áncash;Huaylas;Santo Toribio
021210;Áncash;Huaylas;Yuracmarca
0213 ;Áncash;Mariscal Luzuriaga; 
021301;Áncash;Mariscal Luzuriaga;Piscobamba
021302;Áncash;Mariscal Luzuriaga;Casca
021303;Áncash;Mariscal Luzuriaga;Eleazar Guzmán Barron
021304;Áncash;Mariscal Luzuriaga;Fidel Olivas Escudero
021305;Áncash;Mariscal Luzuriaga;Llama
021306;Áncash;Mariscal Luzuriaga;Llumpa
021307;Áncash;Mariscal Luzuriaga;Lucma
021308;Áncash;Mariscal Luzuriaga;Musga
0214 ;Áncash;Ocros; 
021401;Áncash;Ocros;Ocros
021402;Áncash;Ocros;Acas
021403;Áncash;Ocros;Cajamarquilla
021404;Áncash;Ocros;Carhuapampa
021405;Áncash;Ocros;Cochas
021406;Áncash;Ocros;Congas
021407;Áncash;Ocros;Llipa
021408;Áncash;Ocros;San Cristóbal de Rajan
021409;Áncash;Ocros;San Pedro
021410;Áncash;Ocros;Santiago de Chilcas
0215 ;Áncash;Pallasca; 
021501;Áncash;Pallasca;Cabana
021502;Áncash;Pallasca;Bolognesi
021503;Áncash;Pallasca;Conchucos
021504;Áncash;Pallasca;Huacaschuque
021505;Áncash;Pallasca;Huandoval
021506;Áncash;Pallasca;Lacabamba
021507;Áncash;Pallasca;Llapo
021508;Áncash;Pallasca;Pallasca
021509;Áncash;Pallasca;Pampas
021510;Áncash;Pallasca;Santa Rosa
021511;Áncash;Pallasca;Tauca
0216 ;Áncash;Pomabamba; 
021601;Áncash;Pomabamba;Pomabamba
021602;Áncash;Pomabamba;Huayllan
021603;Áncash;Pomabamba;Parobamba
021604;Áncash;Pomabamba;Quinuabamba
0217 ;Áncash;Recuay; 
021701;Áncash;Recuay;Recuay
021702;Áncash;Recuay;Catac
021703;Áncash;Recuay;Cotaparaco
021704;Áncash;Recuay;Huayllapampa
021705;Áncash;Recuay;Llacllin
021706;Áncash;Recuay;Marca
021707;Áncash;Recuay;Pampas Chico
021708;Áncash;Recuay;Pararin
021709;Áncash;Recuay;Tapacocha
021710;Áncash;Recuay;Ticapampa
0218 ;Áncash;Santa; 
021801;Áncash;Santa;Chimbote
021802;Áncash;Santa;Cáceres del Perú
021803;Áncash;Santa;Coishco
021804;Áncash;Santa;Macate
021805;Áncash;Santa;Moro
021806;Áncash;Santa;Nepeña
021807;Áncash;Santa;Samanco
021808;Áncash;Santa;Santa
