Id_tipo_ticket;id_tipos;nombre;habilitado
1;1;Incidencia;1
2;1;Consulta;1
3;1;Solicitud;1
4;2;Hardware;1
5;2;Software;1
6;2;Redes;1
7;2;Otro;1
8;3;PC;1
9;3;Servidor;1
10;3;Monitor;1
11;3;Portatil;1
12;3;Impresora;1
13;3;Teléfono;1
14;3;Periféricos;1
15;3;Otro;1
16;4;Office;1
17;4;ERP;1
18;4;CRM;1
19;4;Sistema Operativo;1
20;4;Antivirus;1
21;4;Email;1
22;4;Otros;1
23;5;Web;1
24;5;VPN;1
25;5;LAN;1
26;5;Firewall;1
27;5;Wifi;1
28;5;Email;1
29;5;Teléfono;1
30;5;Videoconferencia;1
31;5;Internet;1
32;5;Otro;1
33;6;Otro;1
34;7;Pendiente;1
35;7;En proceso;1
36;7;Cerrado;1
37;8;Proveedor;1
38;8;Cliente;1
40;9;Activo;1
41;9;Inactivo;1
43;10;Usuario;1
44;10;Soporte;1
45;10;Supervisor;1
46;10;Administrador;1
